id,category,filtered,content,summary,prompt_filter_result,completion_filter_result,content_safety_result
48,['Not Hate Speech'],True,또 건수 잡았네 아이돌 욕하는거 애국 아니야 애들앙~~,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
49,['Not Hate Speech'],True,뭐 착각들하나본데 김태호피디 연봉이 지금 어마어마함 방송국에서 붙잡아두는 머니가있는거임 직책이 저래져도 움직임이 없는건 다이유가있는거지 듣기로는 사장보다 연봉이 세다 그랬음,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
50,['Not Hate Speech'],True,와 사람들 ㅋㅋㅋㅋㅋㅋㅋㅋ 임신하고 출산한지 얼마 안 된 사람 얼굴까지 평가하고 자빠졌네.,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
51,['Not Hate Speech'],True,낸시랭은 법원 몇번 왔다갔다 하더니 신나보인다,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
52,['Gender'],True,미이친 덜떨어진 OOO 틀틀딱딱 ~~,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
53,"['Politics', 'Religion']",True,한국남자들이 그렇지뭐 ㅉ 존재악,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
54,['Origin'],True,진짜 저런데 나올거면 관리는 해야되는거 아닌가 몇개월전부터 알았을텐데 문희준 무슨 돼지 한마리가 쿵쾅거리는거보고 볼맛 떨어지더라.. 관리 잘한 젝키가 나은듯 싶음,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
55,['Not Hate Speech'],True,비트코인 담당자 죽음으로 인해서 비트코인 대북송금 이슈화를 막기위해 같은 좌파성폭행으로 언론몰이 하는데 우리 국민들은 비트코인 대북송금으로 몇십조 보낸게 더 중요해요 우리돈으 북한핵으로 만들어지고있습니다. 비트코인이 얼마나 중요하길래 갑잡스럽게 성폭행사건을 계속 터트리나 난 비트코인대북송금.만경호 트럭5대 그게 더 궁금하다 국민 좌 우 떠나서 국익이 흔들리는 대북송금인 비트코인에 관심을 갖여주세요 우리돈으로 핵이 만들어지고잌ㅅ습니다.,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': True, 'severity': 'high'}}",
56,['Not Hate Speech'],True,홍상수욕할여자는있어도 남자는없을거야..사실...홍상수입장되봐 어리고 이쁘고 능력쩌는여자가 지좋타고하는데 가정지킬수있는자신있는남자 나와봐......,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
57,['Not Hate Speech'],False,봉이 김선달에서도 한복자태가 이뻤어요,봉이 김선달에서 한복 자태가 아름다웠다.,{},{},
58,"['Origin', 'Age']",True,병ㅅ~ 면상도 디럽게 생겼꾼~,,{},"{'filtered': True, 'category': 'self_harm', 'severity': 'low'}",
59,"['Age', 'Religion']",True,와 ㅅㅂ 이놈의 페미나 PC충들은 OOO... 이민이 답이다.,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
60,['Not Hate Speech'],False,지디가짬질겁나하겟네,지디가 정말 힘들어하는 것 같다.,{},{},
61,['Not Hate Speech'],True,이야 선교사라는 양반이 집이 참 으리으리 하네,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
62,['Not Hate Speech'],False,송중기 근데 왜케 잘생겻냐,송중기가 매우 잘생겼다.,{},{},
63,['Profanity'],True,댓글 쓴 넘이 개독이네,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
64,['Origin'],True,모모 광대 개크고 눈도 이상한데 외모만 보면 희철이가너무 아깝다,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
65,['Not Hate Speech'],True,신동엽처럼 맨날 성드립 치는거보단 이휘재가 나아요 유재석도 생방송 시상식 엠씨는 잘 못보는데 이휘재가 엠씨 잘보는건 맞음,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
66,['Not Hate Speech'],True,자기야 내가 혀가 순간이동 하는 마술을 보여줄께,,,"{'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
67,['Age'],True,자식새끼 팔아먹는거 아직도 하네,,{},"{'filtered': True, 'category': 'sexual', 'severity': 'high'}",
68,['Gender'],False,틀딱아 오늘 나가서 돈 많이 벌었니?????ㅋㅋ,젊은 사람이 노인에게 돈 벌었는지 묻는 말.,{},{},
69,['Not Hate Speech'],True,"하,..얼굴봐.....ㅠ",,{},"{'filtered': True, 'category': 'sexual', 'severity': 'low'}",
70,['Origin'],True,사진 존못이네 노래못했음 아주 ㅋㅋㅋ,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
71,['Age'],False,허현 자신잇으면 폰넘겨보던가ㅂㅅ,허현에게 자신 있으면 휴대폰을 보여달라는 말.,{},{},
72,['Age'],True,아빠한테 싸가지없이 하는거 정말 잘하더라ㅅㅂ 욕이절로나와 싸가 ㅡㅡ,,,"{'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
73,"['Politics', 'Physical']",True,요설꾼이네 ㅡ역시 전라도 좌파야,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
74,['Age'],False,마약 쫌 할수도 있즤.. 예술적영감도 얻고.. 이런경험 저런경험도 해뵈야 예술을 하지.. 니들이 재들이 받는 스트레스를 알어 ㅋㅋ 그냥 열심히 군복무하게 닥치고들잇어,"마약을 통해 예술적 영감과 다양한 경험을 얻을 수 있지만, 군복무와 스트레스도 함께 겪고 있다는 내용입니다.",{},{},
75,['Not Hate Speech'],False,앙 대갈띠,앙 대갈띠,{},{},
76,['Not Hate Speech'],True,여자도 처벌 해야지.,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
77,['Religion'],True,판사= 남자최종범=남자남자는 남자편인가.그래서 기각됫나.,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
78,"['Origin', 'Age']",True,악마는 무슨 ㅋㅋ 그냥 모쏠찐다조ㅅ밥같이 생겨서 ㅋㅋㅋ,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
79,['Not Hate Speech'],True,승리는? 상관 안 했나? 우스꽝스러운 한국. ㅋ,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
80,['Not Hate Speech'],False,그냥 묻고 지내기엔 아까운 몸매지,몸매가 아까운 정도임,{},{},
81,['Religion'],True,언냐 거리면서 댓글 다는게 냄져티 더 난다는걸 왜 모른단말임ㅋㅋㅋㅋㅋ 요즘 똥꼬충을이나 언냐쓰지 어떤여자가 언냐씀 ㅠㅠ 으휴 진짜 냄져들 찌질하다 설현패고싶어서 여자인척까짘ㅋㅋㅋ 직업상 코르셋 풀 수 없다는거 잘 아니까 신경쓰지 마세요 충성^^7 응원응원!,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
82,['Not Hate Speech'],True,김기사~ 운전해 봤을떄 존나 앳되 보였는데 암이 무섭긴하구나 완전 아저씨가 됫자나 ??,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
83,['Not Hate Speech'],True,여자분 외국혼열외국인같네 ..,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
84,['Not Hate Speech'],True,그럼 한국남자들 절반이상이 범죄자 잘했다는거 아니지만 본질을 비껴간 수사는 맞는듯,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
85,['Not Hate Speech'],False,울컥까진......,감정을 느끼는 순간을 표현함.,{},{},
86,['Not Hate Speech'],False,멧돼지,멧돼지에 관한 내용이 제공되지 않아 요약이 어렵습니다.,{},{},
87,['Not Hate Speech'],False,입조심 말조심 혀조심!,말과 혀를 조심하라는 경고.,{},{},
88,['Politics'],True,그냥 철수해라 양키놈들,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
89,"['Origin', 'Religion']",True,윤아나오면 폭망이라던 메갈돼지들 어디갔냐ㅋㅋㅋ전편 시너지이긴하겠지만 시청률 8프로다 ㅋㅋㅋ,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
90,['Not Hate Speech'],True,이동건 얼굴이 왜안됬냐? 결혼생활 문제있냐?,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
91,['Gender'],True,20-30대 악플러 베충이 40-50대 악플러 개저씨 60대이싱 악플러 틀딱이,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
92,['Not Hate Speech'],True,우리 방탄오빠들이 아니라?,,{},"{'filtered': True, 'category': 'hate', 'severity': 'low'}",
93,['Not Hate Speech'],True,토착 괴뢰들 제2의 드루킹 메크로 돌렸는지 의심이 필요하다,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
94,['Not Hate Speech'],True,골목식당보고 백종원 완전 팬됐는데 ㅠㅠ 감히 어디서 대표님을 까대니 ㅡㅡ,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
95,['Age'],True,일본정권에서 틀림없이 공작금 받았다.다시말해 이년은 공작스파이.,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
96,['Not Hate Speech'],True,차예련 성형 안해서 둘다 누굴닮든 이쁘고 잘생겻겟다!!,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
97,['Age'],True,니들 개무시당해 조만간에 화병걸려 병원에 어퍼져 먹기만하서 돼지/\ㅐ ㄱㄱㅣ되겠다.ㅋ,,,"{'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}",
98,['Not Hate Speech'],True,조사를 하려면 베이징 말고 동쪽으로 옮긴 공장 지역을 봐야지,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
99,['Not Hate Speech'],True,외모는 애낳고 육아살림하는 여자와 독신은 확실히 틀리긴 해. 뭔소리야~,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
100,"['Origin', 'Age', 'Religion']",True,뚜뚱하뇬들 극혐!!오로지 쳐먹는것!,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
101,['Not Hate Speech'],True,난 무교고 종교믿는사람 극혐했는데 이런 생각의 전환을 가질수있는 종교라면 존중해준다,,,"{'hate': {'filtered': True, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
102,['Not Hate Speech'],True,송읍읍 중국인였으면 저랬을지도,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
103,['Not Hate Speech'],False,김현우 임현우가 뭐니 ㅋㅋㅋ 남자둘이서 사귐??,김현우와 임현우가 남자 둘이서 사귀는지 궁금해하는 내용.,{},{},
