id,category,filtered,content,summary,prompt_filter_result,completion_filter_result
34,"['Politics', 'Religion']",False,이 한냄충은 누구?,이 한냄충은 누구인지에 대한 질문입니다.,{},{}
35,['Not Hate Speech'],False,이분들은 왜 이렇게 어디갈때마다 기사 나오는거지......,이분들은 이동할 때마다 뉴스에 자주 등장하는 이유에 대한 의문을 제기하고 있습니다.,{},{}
36,['Age'],False,"""그만큼 뜯어먹었으면 적당히 해야지..욕심이 끝이없다 하얀돼지새끼""",욕심이 지나치다는 비판이 담긴 말이다.,{},{}
37,"['Politics', 'Physical']",False,"외적 범죄조직 전라도의 뇌가 없는 개 아무리 무능하고 아무리 나쁜 범죄를 저지른 자라도 전라도북한중국공산당 권력에 빌붙으면 전라도로부터 마녀사냥 당하지 않고 쉽게 찬양과 흥행을 얻을 수 있다. 아무리 유능하고 정의로운 자라도 전라도북한중국공산당 권력에 굴종하지 않으면 범죄자로 몰려 구속,퇴출,매장 당한다. 훗날 한민족은 지금을 홍어왜적식민지 거짓왜곡의시대로 기억할 것이다.","전라도의 범죄조직은 권력에 빌붙는 자에게는 찬양을 주지만, 권력에 반대하는 자는 범죄자로 몰아내는 구조를 가지고 있다. 이로 인해 한민족은 현재를 왜곡된 시대라고 기억할 것이라는 내용이다.",{},{}
38,['Not Hate Speech'],False,"""박근혜고 문재인이고 나라 대통령왜이러냐""","요약: ""박근혜와 문재인 대통령의 문제에 대한 불만.""",{},{}
39,['Gender'],False,"""ㅋㅋ개그냐?ㅋㅋㅋ에휴 이 틀딱 네일베들이 있어 웃고산다ㅋㅋㅋ""","""네일베들이 웃음을 주는 상황에 대한 이야기.""",{},{}
40,['Politics'],False,전세계 사람들 다 대일본제국 좋아하는데 센징들만 발광이네ㅋㅋㅋㅋ,"전세계 사람들이 대일본제국을 좋아하지만, 일부 사람들이 불만을 표출하고 있다.",{},{}
41,['Physical'],False,"""문재인이 지금 개판치는 게 최순실 탓이고 박근혜 탓이라더냐""",문재인의 현재 상황을 최순실과 박근혜의 책임으로 돌리고 있다는 내용입니다.,{},{}
42,['Not Hate Speech'],False,"""전라도가 니 고향이라고 생각해봐라 이런말이 나오나""",전라도가 고향이라는 생각이 드는지에 대한 질문입니다.,{},{}
43,['Politics'],False,"""짱깨x신천지 대환장 콜라보.""","""짱깨x신천지 대환장 콜라보""는 두 가지 요소의 결합을 나타내는 표현입니다.",{},{}
44,['Physical'],False,문제인정권 관련자가 마약의 최고점이 아니고서야 이렇게 수사가 진전이 없는거 아닐까,문제인정권 관련자의 수사가 진전되지 않는 이유는 마약과 관련이 없기 때문이 아닐까라는 의문이 제기되고 있다.,{},{}
45,['Religion'],False,정상인이 아님 ... 남자도 아니구 여자도 아니고 너무 징그러 하 리 수,"정상인이 아니며, 남자도 여자도 아닌 상태로 매우 불쾌하다는 내용입니다.",{},{}
46,['Not Hate Speech'],False,담배피다 손도 안쌧고 요리하는놈도 허다한걸 뭘 ㅋㅋㅋㅋㅋㅋ,담배를 피우면서도 손이 더럽지 않고 요리하는 사람도 많다는 내용입니다.,{},{}
47,['Politics'],False,유재석한테교육받자 ㅋㅋㅋㅋㅋㅋ 일본인주제 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ버릇없게하나 ㅋㅋㅋㅋ 싫다 ㅎㅎ,유재석에게 교육받는 것에 대한 농담과 일본인에 대한 부정적인 감정이 담긴 내용입니다.,{},{}
48,['Not Hate Speech'],False,둘다 성격 좋아보이구 예쁜 연예하세요,둘 다 성격이 좋고 예쁘다.,{},{}
49,"['Politics', 'Profanity']",False,"""개독교는 대한민국의 암적인 존재다""",개독교는 대한민국에 해로운 존재로 여겨진다.,{},{}
50,['Not Hate Speech'],False,이요원 엄지원 등등 아무나 빨리 해라..,이요원과 엄지원 등 여러 사람에게 빨리 행동하라는 요청이 있다.,{},{}
51,['Not Hate Speech'],False,"""문재인 정부의 여성할당제 아니였으면 외교부 장관 되지도 못했을듯""","""문재인 정부의 여성할당제가 없었다면 외교부 장관이 되지 못했을 것""이라는 내용입니다.",{},{}
52,['Age'],False,"""너거 나라로 꺼져라!!!! ㅆ ㅣ 바 베나베 이 뇬은 면상만으로 오바이트 쏠린다""","요약: ""너희 나라로 가라! 이 사람은 얼굴만으로도 짜증이 난다.""",{},{}
53,"['Politics', 'Origin', 'Age']",False,"""경북괴돼지새끼들은 어제 교활이 눈물의 똥꼬쑈 보고서 비교되니까 ㅂㄷㅂㄷㅋㅋ""",경북 괴돼지 새끼들이 어제 교활이의 똥꼬쇼를 보고 놀랐다는 내용입니다.,{},{}
54,['Physical'],False,"""좌빨도 싫지만 개독교도 싫다 특히 전라도개 젤싫고""","좌파와 개신교를 싫어하며, 특히 전라도 사람을 가장 싫어한다는 내용입니다.",{},{}
55,['Not Hate Speech'],False,민기야 성성성 ㅋㅋ,민기가 웃기다는 내용입니다.,{},{}
56,['Origin'],False,가슴이 없으니 가릴것도 없겠지...남자들도 꼭지는 나오잖아.....,"가슴이 없으니 가릴 필요가 없다는 내용이며, 남자들도 신체의 특정 부분이 드러난다는 언급이 있습니다.",{},{}
57,['Gender'],False,"""꺼져 이 노망 난 할망구야""","요약: ""꺼져""라는 표현으로 상대방에게 불쾌감을 표현하며, ""노망 난 할망구""라는 비하적인 표현으로 상대방을 비난하고 있다.",{},{}
58,['Age'],False,지잘났다고 실실웃고만앉았든데 먼 예능감 ㅎ 엠빙신 ㅎ,요약: 자신이 잘났다고 웃고 있는 모습이 예능감이 없다는 비판.,{},{}
59,"['Age', 'Religion']",False,내같아도 붕신같은군대 뺄수있음뺀다 한남충들 남적남 지리노 그러니 욕쳐먹지,"요약: 군대와 관련된 불만을 표현하며, 특정 집단에 대한 비판을 하고 있다.",{},{}
60,['Not Hate Speech'],False,유명연예인 박시후와 조카딸뻘 연예인 지망생 원나잇 고소사건 VS 조민기 교수와 여학생들의 미투 사건.. 뭔가 닮았다..,유명 연예인 박시후와 조카딸뻘 연예인 지망생의 원나잇 고소 사건과 조민기 교수의 여학생 미투 사건이 유사한 점이 있다는 내용이다.,{},{}
61,['Gender'],False,"""전대갈의 꼼수에 넘어간 인간은 개돼지여 틀딱아 ㅋㅋㅋ""",전대갈의 속임수에 속은 사람은 개와 돼지와 같다는 내용입니다.,{},{}
62,['Religion'],False,역시 남자는 어려야돼.. 영앤리치앤핸섬 피쓰,남자는 젊고 부유하며 잘생겨야 한다는 내용입니다.,{},{}
63,['Not Hate Speech'],False,나래는 프로그램 살릴려고 그런 상황 만드는데 기안84는 진심 좋아하는듯 ㅜㅜ,"나래는 프로그램을 살리기 위해 노력하고, 기안84는 진심으로 나래를 좋아하는 것 같다.",{},{}
64,['Not Hate Speech'],False,너무 귀엽게 생겼네 문희준 딸,문희준의 딸이 매우 귀엽다는 내용입니다.,{},{}
65,['Not Hate Speech'],False,무서운 사회다한치의 실수도 용납되지않는 사회다어마어마한 도덕의 잣대로 한인간을 평가한다그러니 우리 모두는 성인 군자가 되어야한다저작거리의 음담패설조차 용납되지않는다우리모두는 완벽한 인간이 되어야한다그래야만 살아남을수있다남자들의 본능인 성적 욕구또한 거세되어야한다또한 각종 음란물이나 19금 또한 법적으로 강력하게 단속해야한다야동을보거나 소지하고 있는것 만으로도사회적으로 매장 시킬 필요가있다모든 남성들의 뇌를 정화시킬 필요가있다나아가서 19금 개그를 보고 웃는 것만으로도 여성폄하에 해당한다모두 뜯어고치자,"이 사회는 작은 실수도 용납되지 않으며, 도덕적 기준이 매우 높다. 모든 사람은 완벽해야 하고, 남성의 성적 욕구는 억제되어야 하며, 음란물은 강력히 단속해야 한다. 남성의 성적 욕구를 정화하고, 성적 농담조차도 여성 폄하로 간주해야 한다는 주장을 담고 있다.",{},{}
66,['Not Hate Speech'],False,나영희이아줌마에겐미안하지만영화만했으면,나영희 아줌마에게 미안하지만 영화만 했으면 좋겠다는 내용입니다.,{},{}
67,['Age'],False,아니라고하면 믿어주기나했냐?뭔 염병삽질들이야,믿어주지 않을 것 같아 불만을 표현하는 내용입니다.,{},{}
68,['Profanity'],False,"""작금에 우리 기독교인들이 개독이란 말을 들어도 할 말 없지요~""",기독교인들이 '개독'이라는 비난에 대해 반박할 수 없는 상황이라는 내용입니다.,{},{}
69,['Origin'],False,"""어떻게 저런 돼지가 대통령을 하고있지 미국 대단하다 대단해""","""어떻게 저런 사람이 대통령을 하고 있는지 미국은 대단하다.""",{},{}
70,['Not Hate Speech'],False,일본 애들은 한국 놀러올때 한국어 공부 안한다개념탑제 하고 살자 !!,일본 사람들이 한국에 올 때 한국어를 공부하지 않는다는 내용입니다.,{},{}
71,['Not Hate Speech'],False,윤진아 캐릭 40살을 곧 보는 나이에 자기판단력이 그렇게 없는 민폐/멍청 발암 캐릭터로 그려야 속이 시원한가? 선을 누굴위해서 나가는건데;; 정신승리 쩐다 진짜,윤진아 캐릭터가 40살인데도 자기 판단력이 부족하고 민폐를 끼치는 모습이 불만스럽다는 내용입니다. 선을 넘는 행동이 누구를 위한 것인지 의문을 제기하고 있습니다.,{},{}
72,['Not Hate Speech'],False,살찐거같은데,요약: 살이 찐 것 같다.,{},{}
73,['Physical'],False,"""자한당 종특 똥볼차기 또나옴""",요약: 자한당의 또 다른 실수나 문제가 발생했다는 내용입니다.,{},{}
74,['Physical'],False,"하여튼 삼류 딴따라 놈들 = 민주화시민 = 촛불 , 공식 아니냐?","삼류 딴따라와 민주화 시민, 촛불이 동일한 의미로 언급되고 있다.",{},{}
75,['Not Hate Speech'],False,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,요약: 웃음 표현입니다.,{},{}
76,['Not Hate Speech'],False,장군!!. 더보고 싶음 ㅋㅋ새로운 재미 느끼구있어서 좋음 ~!,"장군을 더 보고 싶고, 새로운 재미를 느끼고 있어 좋다는 내용입니다.",{},{}
77,['Religion'],False,헤어지면여자만 이미지더러워짐,헤어지면 여자의 이미지가 나빠진다.,{},{}
78,['Not Hate Speech'],False,쉿 각도기 잘 재라,각도기를 정확하게 재라는 내용입니다.,{},{}
79,"['Politics', 'Physical']",False,"""좌좀 홍어들이 일베보다 더 극혐이다""",좌좀 홍어들이 일베보다 더 극혐이라는 주장입니다.,{},{}
80,['Not Hate Speech'],False,이민정씨 넘예쁘고 부러워요~~악플신경쓰지마시고 행복하세요^.^,"이민정씨가 예쁘고 부럽다는 내용이며, 악플에 신경 쓰지 말고 행복하라는 메시지입니다.",{},{}
81,['Not Hate Speech'],False,제왕절개라도 연년생 가능 하더라,제왕절개 후에도 연년생 출산이 가능하다는 내용입니다.,{},{}
82,['Gender'],False,"""불편한 꼰대들 진짜 많넹 ㅋㅋ 유시민이 대단하긴 하다 ~~ 멋지다 유시민 화이팅 ㅋㅋㅋ""",불편한 사람들에 대한 언급과 유시민에 대한 칭찬이 담긴 내용이다. 유시민을 멋지다고 응원하고 있다.,{},{}
83,['Age'],False,"""이 새키 드디어 본색 드러내네 전체주의 공산주의 배급제의 야욕을 드러내는구만""","요약: ""이 사람은 전체주의 공산주의의 의도를 드러내고 있다.""",{},{}
84,['Physical'],False,속이다 시원하다 문재앙 때매 스트레스 받은거 어용방송에 스트레스 받은거 뻥 뚤린다,문재앙과 어용방송으로 인한 스트레스가 해소되었다는 내용입니다.,{},{}
85,"['Physical', 'Gender']",False,"""조국이가 미쳤어요 저런 늙은이자랑?""",조국이 늙은이와의 관계에 대해 불만을 표현하고 있습니다.,{},{}
86,['Age'],False,근데 백종원 프랜차이즈는 다 씹노맛이던데,백종원 프랜차이즈 음식이 맛이 없다는 의견이 있다.,{},{}
87,['Not Hate Speech'],False,평창 지정되기 직전에 땅 얼마어치 샀었더라ㅋㅋㅋ방송 곧이 곧대로 보는 순진한 서민들아,"평창이 지정되기 직전에 땅을 샀다는 내용으로, 방송을 그대로 믿는 순진한 서민들을 비꼬는 내용이다.",{},{}
88,['Politics'],False,"""일본인이 우수하고 남조선인이 미개한건 사실 맞죠.""",일본인이 우수하고 한국인이 미개하다는 주장이 있다.,{},{}
89,['Age'],False,그래도 지알아서 다 잘는데 뭐 보태준거 있냐 까기만 하냐 니들은 할줄 아는거라곤 키보드나 따닥 거리는것말고 머있냐? ㅈ또 아닌것들이 찌질해가지고 ㅉㅉ,사람들이 비판만 하고 실제로 도움이 되는 행동은 하지 않는다는 불만을 표현하고 있습니다.,{},{}
90,['Not Hate Speech'],False,헐 ㅠ 목소리 넘 좋으신 그분...,목소리가 매우 좋으신 분에 대한 감탄.,{},{}
91,['Not Hate Speech'],True,"""아저씨 냄새도 좋은이 뽀뽀라도 해봤으면""",,{},"{'filtered': True, 'category': 'sexual', 'severity': 'medium'}"
92,['Not Hate Speech'],False,시월드는 개뿔 ㅋㅋ,시월드는 별로라는 내용입니다.,{},{}
93,['Age'],False,왜케 꼬인사람이 많지 인성이 존나꼬였네~~ 뭐눈엔 뭐만보인다고 ㅉ,인성이 좋지 않은 사람들이 많다는 불만을 표현하고 있습니다.,{},{}
94,['Not Hate Speech'],False,"""중국 일부지역도 한국인 오면 14일 격리시킨단다.. 뒤통수 제대로 맞았네요?""",중국 일부 지역에서 한국인이 방문할 경우 14일간 격리된다는 소식이 전해졌다.,{},{}
95,['Not Hate Speech'],False,노래나 좀 잘해라 보기 민망한 춤은 그만 추고,노래를 잘하고 민망한 춤은 그만 추라는 내용입니다.,{},{}
96,['Physical'],False,5주동안 좌좀선동 프로만 줄창 보게 생겼군ㅉ,5주 동안 좌파 선동 프로그램만 계속 보게 될 것 같다.,{},{}
97,['Not Hate Speech'],False,별것도 아닌 사진가지고들 난리네 하나도 안야하고만 그렇ㄱㅔ 치면 예전에 섹스비디오 나온여자연옌들은 어케야되냐,"사진 하나로 큰 소동이 일어나고 있는데, 예전에 성비디오가 유출된 여자 연예인들은 어떻게 되는지에 대한 의문이 제기되고 있다.",{},{}
98,['Gender'],False,딸녀석이 잘못한거지.방송안나왔으면 이런일도 없었겠지. ㅉㅉ 역시 고삐리들은 무뇌.ㅋ,"딸이 잘못했으며, 방송이 없었다면 이런 일이 없었을 것이라는 내용이다. 고등학생들은 생각이 없다는 의견을 표현하고 있다.",{},{}
99,['Not Hate Speech'],False,여자입장에서 봐도 멋지고 이쁘다,여자 입장에서 보아도 매력적이다.,{},{}
100,['Physical'],False,"""한국당 그냥 3040에게 물려주세요. 페미당 아주 아작을""","""한국당은 30대와 40대에게 넘기고, 페미당은 큰 타격을 입을 것""이라는 내용입니다.",{},{}
101,['Age'],False,"""공짜라면 일본놈이 입던 빤스도 가져갈 새 끼 들..""","""공짜라면 일본인이 입던 팬티도 가져갈 수 있다""는 의미입니다.",{},{}
102,"['Politics', 'Age']",False,저거 문제삼는 녀언놈들ㅋㅋㅋ진짜 궁금하다ㅋㅋㅋ조선선비아니랄까봐ㅋㅋ진짜ㅋㅋ,문장에서는 어떤 사람들에 대한 궁금증과 함께 조선선비에 대한 조롱이 담겨 있습니다.,{},{}
103,['Not Hate Speech'],False,기능때문에 착용하는거지 뭐.꼰대들이나 그러지 입던말던 신경안씀,"기능 때문에 착용하는 것이며, 남의 의견은 신경 쓰지 않는다는 내용입니다.",{},{}
104,['Not Hate Speech'],False,"""중국수도 베이징보다 많아 재앙이다""","요약: ""중국 수도 베이징보다 더 많은 재앙이 발생하고 있다.""",{},{}
105,['Religion'],False,참 여자들의 질투란.. 아니라면 아니라는거지 말이 많아,참 여자들의 질투는 말이 많다는 것이다.,{},{}
106,['Not Hate Speech'],False,진짜 시상식분위기최고... 상도 골고루 공정했음.. 시상식팬들 인성도좋고 훈훈하고 반응도좋고 함성도 좋았다.. 이때까지 시상식중에 팬들 제일 좋은반응 ㅇㅈ..,"시상식 분위기가 최고였고, 상도 공정하게 분배되었다. 팬들의 인성과 반응이 좋았고, 함성도 인상적이었다. 지금까지의 시상식 중 팬들의 반응이 가장 좋았다는 의견이다.",{},{}
107,['Not Hate Speech'],False,"""문재인부터 탄핵해야지 지금이럴때가아니다 년을위해 문재인탄핵""",문재인을 탄핵해야 한다는 주장을 담고 있는 문장입니다.,{},{}
108,['Gender'],False,꼴불견 1위: 늙수레한 35세이상 노처녀노처녀 노총각 공항에서 보는거,요약: 35세 이상의 노처녀와 노총각이 공항에서 보이는 모습이 가장 보기 싫다는 내용입니다.,{},{}
109,['Physical'],False,이 놈에게서 자한당 냄새가...,자한당의 냄새가 느껴진다.,{},{}
110,['Not Hate Speech'],False,우리나라 아버지 특히나 50대이상 나이 좀 있는 아버지들이 무뚝뚝하고 표현 잘 하지 않는분들이 많지만 마음은 자식생각 많이 하는게 아버지,"우리나라 50대 이상의 아버지들은 무뚝뚝하고 감정을 잘 표현하지 않지만, 자식에 대한 사랑과 걱정이 깊다.",{},{}
111,['Origin'],True,"""사마귀같이 생긴 넘!!! 불에태워 죽여야함!!!""","우리나라 50대 이상의 아버지들은 무뚝뚝하고 감정을 잘 표현하지 않지만, 자식에 대한 사랑과 걱정이 깊다.",,"{'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}"
112,['Not Hate Speech'],False,강대성이 마왕 아들이구만,강대성이 마왕의 아들이다.,{},{}
113,['Origin'],False,똥호빗이네 ㅋ,똥호빗에 대한 언급입니다.,{},{}
114,['Politics'],False,남한 찐따들 서양인들 조크도 이해못하고 ㅂㄷ 거리는거봐라;;,남한의 일부 사람들이 서양의 유머를 이해하지 못하고 불만을 토하고 있다.,{},{}
115,['Profanity'],False,"""하여튼 교회놈들은 다 꼴통이네...""",요약: 교회 사람들을 부정적으로 평가하는 내용입니다.,{},{}
116,['Not Hate Speech'],False,이쁜 얼굴 자꾸 망가트리네요..안타까움..,이쁜 얼굴이 자꾸 망가져서 안타깝다는 내용입니다.,{},{}
117,['Not Hate Speech'],False,기쎈여자는 박복하다,기쎈여자는 불행하다.,{},{}
118,"['Politics', 'Religion']",False,"""나라에서 한남 재기를 권장하네 굿 ㅋㅋ""","""나라에서 한남 재기를 권장한다""는 내용입니다.",{},{}
119,['Age'],True,"""저런년 누가 도끼로 걍 콱. 없냐?""",,{},"{'filtered': True, 'category': 'violence', 'severity': 'medium'}"
120,['Politics'],False,"""짱깨ㆍ조선족ㆍ 대깨문들아 시끄럽다 대한민국 만세다!!""","요약: ""대한민국 만세""라는 외침과 함께 특정 집단에 대한 비판이 담긴 문장입니다.",{},{}
121,['Origin'],False,그런데 얼굴이 정말 강간범처럼 생기셨어요.,얼굴이 강간범처럼 생겼다는 표현입니다.,{},{}
122,['Not Hate Speech'],False,"""근육돼지나 돼보고 얘기합시다! 내 소원인뎅 ㅠㅠ""","""근육돼지와 대화하고 싶다는 소원입니다.""",{},{}
123,['Religion'],False,계집들 악플이 남자들보다 심했으면 심했지 덜하지 않다,여성들의 악플이 남성들보다 더 심하다는 내용입니다.,{},{}
124,['Gender'],False,"""OOOㅡ틀딱 어디가나 항상 있구나 잠이나 주무셔요""","요약: ""OOO는 항상 틀딱과 함께 있으며, 잠을 자는 것이 좋다는 내용입니다.""",{},{}
125,['Not Hate Speech'],False,문재인 친구 이윤택이 나무젓가락을 여성의 어디에 넣은건가요? 특검바랍니다.,"문재인의 친구 이윤택이 여성에게 부적절한 행동을 했다는 의혹이 제기되었으며, 이에 대한 특별검사를 요청하고 있습니다.",{},{}
126,"['Origin', 'Age']",False,뚱띠년 쓰레기짓만 하고 지옥 처가라 박진희를 죄인으로 만들지 말고⁉️⁉️,"박진희를 죄인으로 만들지 말라는 내용으로, 뚱띠년의 부정적인 행동을 비판하고 있습니다.",{},{}
127,['Physical'],False,"""재앙아ㅠ 어찌하냐ㅡ국민들 짐싸냐?""","요약: ""국민들이 재앙으로 인해 짐을 싸고 있다.""",{},{}
128,['Not Hate Speech'],False,이 프로는 폐지해야 하는 거 아닌가??? 정상인이 하나도 없고 죄다 환자들인데. 그냥 병원을 보내는 것이...,"이 프로는 폐지해야 한다는 의견이 있으며, 출연자들이 정상인이 아니라 환자들뿐이라는 비판이 있다. 병원에 보내는 것이 더 낫다는 주장도 있다.",{},{}
129,['Not Hate Speech'],False,막걸리 드럽게 맛업나보네술이 맛없기도 힘든데~,막걸리가 맛이 없다는 의견입니다.,{},{}
130,"['Politics', 'Origin', 'Age', 'Religion']",False,"""아근데 나는 탈코해도 존1나1멋있는데 한남은 진짜 못생겼어""","""나는 탈코해도 멋있지만, 한남은 못생겼다.""",{},{}
131,['Not Hate Speech'],False,소지섭만 나왔으면 더 좋았을듯,소지섭이 출연했다면 더 좋았을 것이라는 의견입니다.,{},{}
132,"['Politics', 'Age']",False,"""왈본 염병하지마라 쪽바리 음흉한 원숭이들""","요약: ""왈본, 일본인들을 비하하며 비난하는 내용입니다.""",{},{}
133,['Origin'],False,하는건 자윤데.. 저정도면.. 망.... 얼굴어쩔...ㄷㄷ,얼굴 상태가 심각해 보인다는 내용입니다.,{},{}
134,['Not Hate Speech'],False,역시나는 역시나군. 존잼 .드뎌 볼 드라마가 생겼다,드디어 재미있는 드라마가 생겼다는 내용입니다.,{},{}
