id,category,filtered,content,summary,prompt_filter_result,completion_filter_result,content_safety_result
13,['Not Hate Speech'],False,노래는 하현우가 잘하던데..델꼬가세요,하현우가 노래를 잘한다는 내용과 델꼬를 가라는 말.,{},{},
14,['Race'],True,영어한마디 못하는 깜~둥~튀~기~!!!,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
15,['Politics'],True,"짱깨 치료비를 왜 국민 세금으로 치료해주냐! 북한,중국한테 속국이라 같은 국민으로 보냐",,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
16,['Not Hate Speech'],True,마스크 200만개 중국에게 상납한 문재인 한국인 목숨 보다 중국인목숨이 더중요한가,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
17,['Not Hate Speech'],False,좌티비씨 아나운서 수준들은 어떻게 다 저러냐,좌티비씨 아나운서들의 수준에 대한 불만.,{},{},
18,['Not Hate Speech'],False,하필 애비 닮았노 ㅋ,애비를 닮았다는 말.,{},{},
19,['Origin'],False,도독잡았네 재네가 훔쳤네ㅋㅋ 아 얼굴도 토나오게생겼어,남을 비하하며 도둑이라고 비난하는 내용.,{},{},
20,['Not Hate Speech'],False,조세호 웃기다,조세호가 재미있다.,{},{},
21,['Not Hate Speech'],False,이새키 능력있네 ㅋㅋ,능력 있다고 평가하는 표현.,{},{},
22,['Not Hate Speech'],False,거기들어가면서도 야망에찬 눈빛줌바,야망에 찬 눈빛으로 들어감,{},{},
23,['Not Hate Speech'],False,엄청 재밌겠는데요.서로 경청하고 왜 그런 생각을 하는지 진정으로 듣는 자세를 보여줄수 있을것같아요.시장님은 듣기에 뛰어난 사람이기에 가능하시죠!,"상대의 말을 경청하고 이해하는 자세의 중요성을 강조하며, 시장님이 그런 능력을 갖추고 계시다고 칭찬하는 내용입니다.",{},{},
24,['Not Hate Speech'],False,난 장성규 까고 싶지 않다. 솔직히 요즘 남자들한테 오또맘은 치트키임.,"남자들 사이에서 오또맘이 인기 있는 비밀 무기임을 언급하며, 장성규를 비난하고 싶지 않다고 표현함.",{},{},
25,['Not Hate Speech'],False,하나님을 믿는거냐 저 목사를 믿는거냐ㅋㅋ 불쌍한것,하나님보다 목사를 믿는 것을 비판하는 내용.,{},{},
26,['Not Hate Speech'],True,신천지 교주와 다름없는 짓거리일쎄~!!말세로다....,,{},"{'filtered': True, 'category': 'violence', 'severity': 'medium'}",
27,['Not Hate Speech'],False,어제 저녁에 출국을 했는데 무슨 뚱딴지 같은 기사여😯😯,어제 저녁 출국했는데 이상한 기사라는 내용.,{},{},
28,['Not Hate Speech'],False,장준혁에는 전광렬 어때요 공감부탁,장준혁이 전광렬에 대해 어떻게 생각하는지에 대해 공감해달라는 요청입니다.,{},{},
29,['Not Hate Speech'],False,대선배님들 많이 있었을텐데 그 앞에서 배우자에게 높임말은 좀? 겸손하시길,대선배님들 앞에서는 배우자에게 높임말을 쓰며 겸손하라는 내용.,{},{},
30,['Not Hate Speech'],False,해커가 북한으로 의심되는건 나쁜인가ㅋㅋ옛날 한국어 말투 쓴다는데,"해커가 북한과 관련된 것이 나쁜지 의심하며, 옛날 한국어 말투를 쓴다고 농담하는 내용.",{},{},
31,"['Origin', 'Religion']",True,얼마나 운동을 멀리하고 살이 뒤룩뒤룩 쪘으면 거길 앉고싶냐 게으른 숫퇘지들 ㅋㅋㅋ,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
32,['Not Hate Speech'],False,넘나 이쁘셔...,그 사람이 매우 예쁘다는 감탄.,{},{},
33,['Not Hate Speech'],False,질투하는 여자들 신경쓰지 말고 자산가 사업가와 결혼해서 아기 이쁘게 키우면서 이제 일이랑 악플 그리고 돈에서 해방되서 여유롭게 여자로서 인생을 사세요~ 무슨 남의 인생에 감놔라 배놔라 하는 인간들 신경쓰지 마시고 사모님 소리 들으면서 즐기시길 부럽습니다~,질투하는 사람 신경 쓰지 말고 자산가와 결혼해 여유롭게 인생 즐기라는 조언.,{},{},
34,['Not Hate Speech'],False,이쁘긴 이쁜디.. 사진이 먼가 수지스럽네?,사진이 수지 같다.,{},{},
35,['Not Hate Speech'],False,이상엽 씨.. 뭔가 빼지않고 열심히 하는 모습이 보여서 호감이 갑니다!!,이상엽 씨의 성실한 모습이 호감 간다.,{},{},
36,['Physical'],True,그건 토착빨갱이한테 가서 물어봐라,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
37,['Not Hate Speech'],True,돈에 정신나간 여자를 왜 자꾸 보여주는지,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
38,['Not Hate Speech'],False,저러다 자살각..,자살 위험이 우려됨.,{},{},
39,['Not Hate Speech'],False,털많은남자좋아하는갑네,털 많은 남자를 좋아하는 것 같네,{},{},
40,['Not Hate Speech'],False,입맛이없으면 밥먹지 마 작가의 생각을 니입맛에 맞추는세상이언제부터이니? 너두나두 비판 그냥 봐 보기싫으면 니맘데로 하고 표현의 자유?웃겨...,"입맛에 맞추는 세상과 표현의 자유에 대한 비판, 자기 생각과 선택의 중요성 강조",{},{},
41,['Not Hate Speech'],False,"김생민은 악플러들이 있을수밖에 없어요. 네일샾, 치킨집, 옷가게, 레스토랑, 카페, 태권도 학원, 바이올린 학원, 이런 자영업자들이 얼마나 많은데 그사람들은 싫겠죠 ㅎㅎㅎ 저는 자영업자지만 재미있게 보고있습니다. 저기서 배울점만 배우면 되죠. 소비를 돌아보게 된건 좋는것 같습니다. 송은이 김숙 김생민이 얘기하듯 코미디 프로인데 코디미로 봐요 우리. 그리고 도움되는 것만 남기면 될듯.","자영업자들이 많아 악플러가 생기기 쉽지만, 자영업자들이 배울 점을 찾으며 소비를 돌아보는 계기로 삼고, 코미디를 즐기면서 도움 되는 점만 취하는 것이 중요하다고 말함.",{},{},
42,['Not Hate Speech'],False,그래도 너넨 돈 많잖아...,너희는 돈이 많다는 말.,{},{},
43,['Not Hate Speech'],False,천재KBSㅋㅋㅋ쩐다 아재들 ㅂㄷㅂㄷ 빼액~!!!!,KBS 천재와 아재들의 재치와 유머를 칭찬하는 내용.,{},{},
44,['Gender'],False,둘이 나이가 지금 몇개인대 아직도 엔죠이 상태로 만나냐? 한심 한다 정말 ~,나이와 상관없이 아직도 만남을 즐기고 있다는 점이 한심하다는 말.,{},{},
45,['Not Hate Speech'],False,소시멤들 나와서 화나요 100개이하 본적없는데 이번에도 ㅋㅋ 오후되면 300개는 나오겠넴,"소시멤버들이 나와서 화났으며, 평소보다 적은 100개 이하의 반응이었지만 오후에는 300개 이상 나올 것으로 예상됨.",{},{},
46,['Age'],False,멍든게대수냐 얼굴다 할퀸거 어쩔거냐 독한년성격에 문제있지,"상처는 별거 아니며, 얼굴을 할퀸 것에 대해 걱정하지 말라는 말과 함께, 성격이 강하고 문제 있다는 비판이 담겨 있음.",{},{},
47,['Not Hate Speech'],True,자격미달 예수랑 너무 다르네 ㅋㅋ,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
48,['Not Hate Speech'],False,또 건수 잡았네 아이돌 욕하는거 애국 아니야 애들앙~~,아이돌을 욕하는 것은 애국이 아니라고 주장하는 내용.,{},{},
49,['Not Hate Speech'],False,뭐 착각들하나본데 김태호피디 연봉이 지금 어마어마함 방송국에서 붙잡아두는 머니가있는거임 직책이 저래져도 움직임이 없는건 다이유가있는거지 듣기로는 사장보다 연봉이 세다 그랬음,"김태호 PD는 높은 연봉으로 방송국에서 중요한 인물이며, 사장보다 연봉이 더 세다는 소문이 있음.",{},{},
50,['Not Hate Speech'],False,와 사람들 ㅋㅋㅋㅋㅋㅋㅋㅋ 임신하고 출산한지 얼마 안 된 사람 얼굴까지 평가하고 자빠졌네.,임신과 출산 후 사람 얼굴 평가하는 사람들을 비판하는 내용.,{},{},
51,['Not Hate Speech'],False,낸시랭은 법원 몇번 왔다갔다 하더니 신나보인다,낸시랭이 법원 출입 후 기분이 좋아 보인다.,{},{},
52,['Gender'],False,미이친 덜떨어진 OOO 틀틀딱딱 ~~,"무례하거나 조롱하는 표현으로, 특정 인물이나 대상에 대한 비하와 조롱이 담긴 비속어와 비하 표현이 포함되어 있음.",{},{},
53,"['Politics', 'Religion']",True,한국남자들이 그렇지뭐 ㅉ 존재악,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
54,['Origin'],False,진짜 저런데 나올거면 관리는 해야되는거 아닌가 몇개월전부터 알았을텐데 문희준 무슨 돼지 한마리가 쿵쾅거리는거보고 볼맛 떨어지더라.. 관리 잘한 젝키가 나은듯 싶음,"문희준의 무리한 행동으로 실망스럽고, 관리 잘한 젝키가 더 낫다는 의견.",{},{},
55,['Not Hate Speech'],True,비트코인 담당자 죽음으로 인해서 비트코인 대북송금 이슈화를 막기위해 같은 좌파성폭행으로 언론몰이 하는데 우리 국민들은 비트코인 대북송금으로 몇십조 보낸게 더 중요해요 우리돈으 북한핵으로 만들어지고있습니다. 비트코인이 얼마나 중요하길래 갑잡스럽게 성폭행사건을 계속 터트리나 난 비트코인대북송금.만경호 트럭5대 그게 더 궁금하다 국민 좌 우 떠나서 국익이 흔들리는 대북송금인 비트코인에 관심을 갖여주세요 우리돈으로 핵이 만들어지고잌ㅅ습니다.,,,"{'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': True, 'severity': 'high'}}",
56,['Not Hate Speech'],True,홍상수욕할여자는있어도 남자는없을거야..사실...홍상수입장되봐 어리고 이쁘고 능력쩌는여자가 지좋타고하는데 가정지킬수있는자신있는남자 나와봐......,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
57,['Not Hate Speech'],False,봉이 김선달에서도 한복자태가 이뻤어요,봉이 김선달에서 한복 자태가 아름다웠다.,{},{},
58,"['Origin', 'Age']",True,병ㅅ~ 면상도 디럽게 생겼꾼~,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
59,"['Age', 'Religion']",True,와 ㅅㅂ 이놈의 페미나 PC충들은 OOO... 이민이 답이다.,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
60,['Not Hate Speech'],False,지디가짬질겁나하겟네,지디가 정말 힘들어하는 것 같다.,{},{},
61,['Not Hate Speech'],False,이야 선교사라는 양반이 집이 참 으리으리 하네,선교사인 이야 양반의 집이 매우 부유하고 멋지다.,{},{},
62,['Not Hate Speech'],False,송중기 근데 왜케 잘생겻냐,송중기가 매우 잘생겼다.,{},{},
63,['Profanity'],False,댓글 쓴 넘이 개독이네,댓글 작성자가 개신교 신자임.,{},{},
64,['Origin'],True,모모 광대 개크고 눈도 이상한데 외모만 보면 희철이가너무 아깝다,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
65,['Not Hate Speech'],False,신동엽처럼 맨날 성드립 치는거보단 이휘재가 나아요 유재석도 생방송 시상식 엠씨는 잘 못보는데 이휘재가 엠씨 잘보는건 맞음,이휘재가 유재석보다 생방송 시상식 MC를 더 잘한다는 의견.,{},{},
66,['Not Hate Speech'],True,자기야 내가 혀가 순간이동 하는 마술을 보여줄께,,,"{'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
67,['Age'],True,자식새끼 팔아먹는거 아직도 하네,,{},"{'filtered': True, 'category': 'sexual', 'severity': 'high'}",
68,['Gender'],False,틀딱아 오늘 나가서 돈 많이 벌었니?????ㅋㅋ,젊은 사람이 나이 든 사람에게 돈 벌었냐고 묻는 비속어 표현,{},{},
69,['Not Hate Speech'],False,"하,..얼굴봐.....ㅠ",누군가가 얼굴을 보고 싶어하는 감정을 표현하는 내용.,{},{},
70,['Origin'],False,사진 존못이네 노래못했음 아주 ㅋㅋㅋ,사진이 못생겼고 노래도 못했음.,{},{},
71,['Age'],False,허현 자신잇으면 폰넘겨보던가ㅂㅅ,허현에게 자신 있으면 휴대폰을 보여달라는 말.,{},{},
72,['Age'],True,아빠한테 싸가지없이 하는거 정말 잘하더라ㅅㅂ 욕이절로나와 싸가 ㅡㅡ,,,"{'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
73,"['Politics', 'Physical']",False,요설꾼이네 ㅡ역시 전라도 좌파야,전라도 좌파라고 비판하는 내용입니다.,{},{},
74,['Age'],False,마약 쫌 할수도 있즤.. 예술적영감도 얻고.. 이런경험 저런경험도 해뵈야 예술을 하지.. 니들이 재들이 받는 스트레스를 알어 ㅋㅋ 그냥 열심히 군복무하게 닥치고들잇어,"마약을 통해 예술적 영감과 다양한 경험을 얻을 수 있지만, 군복무를 열심히 하라는 메시지.",{},{},
75,['Not Hate Speech'],False,앙 대갈띠,앙 대갈띠,{},{},
76,['Not Hate Speech'],True,여자도 처벌 해야지.,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
77,['Religion'],False,판사= 남자최종범=남자남자는 남자편인가.그래서 기각됫나.,"남자가 판사와 최종범인지, 남자가 남자 편인지, 그리고 기각 여부에 대한 질문.",{},{},
78,"['Origin', 'Age']",True,악마는 무슨 ㅋㅋ 그냥 모쏠찐다조ㅅ밥같이 생겨서 ㅋㅋㅋ,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
79,['Not Hate Speech'],False,승리는? 상관 안 했나? 우스꽝스러운 한국. ㅋ,한국이 우스꽝스럽다는 비판.,{},{},
80,['Not Hate Speech'],False,그냥 묻고 지내기엔 아까운 몸매지,몸매가 아까운 정도임,{},{},
81,['Religion'],False,언냐 거리면서 댓글 다는게 냄져티 더 난다는걸 왜 모른단말임ㅋㅋㅋㅋㅋ 요즘 똥꼬충을이나 언냐쓰지 어떤여자가 언냐씀 ㅠㅠ 으휴 진짜 냄져들 찌질하다 설현패고싶어서 여자인척까짘ㅋㅋㅋ 직업상 코르셋 풀 수 없다는거 잘 아니까 신경쓰지 마세요 충성^^7 응원응원!,"댓글에 냄져티를 내는 게 더 짜증난다는 내용과, 일부 여성들이 언냐를 사용하는 것에 대한 비판, 설현을 언급하며 찌질하다는 평가, 직업상 코르셋을 풀 수 없다는 설명, 응원과 충성의 메시지.",{},{},
82,['Not Hate Speech'],False,김기사~ 운전해 봤을떄 존나 앳되 보였는데 암이 무섭긴하구나 완전 아저씨가 됫자나 ??,"운전할 때는 젊어 보였지만 암이 무서운 병임을 느꼈고, 나이 들어 보이게 됨.",{},{},
83,['Not Hate Speech'],False,여자분 외국혼열외국인같네 ..,외국인인 것 같다.,{},{},
84,['Not Hate Speech'],False,그럼 한국남자들 절반이상이 범죄자 잘했다는거 아니지만 본질을 비껴간 수사는 맞는듯,"한국 남성 절반 이상이 범죄자라고 생각하지 않지만, 본질을 벗어난 수사가 문제라는 의견.",{},{},
85,['Not Hate Speech'],False,울컥까진......,감정을 느끼는 순간을 표현함.,{},{},
86,['Not Hate Speech'],False,멧돼지,멧돼지에 관한 내용이 제공되지 않아 요약이 어렵습니다.,{},{},
87,['Not Hate Speech'],False,입조심 말조심 혀조심!,말과 혀를 조심하라는 경고.,{},{},
88,['Politics'],True,그냥 철수해라 양키놈들,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
89,"['Origin', 'Religion']",False,윤아나오면 폭망이라던 메갈돼지들 어디갔냐ㅋㅋㅋ전편 시너지이긴하겠지만 시청률 8프로다 ㅋㅋㅋ,"윤아 출연에 대한 기대와 비판, 시청률 8% 기록에 대한 언급.",{},{},
90,['Not Hate Speech'],True,이동건 얼굴이 왜안됬냐? 결혼생활 문제있냐?,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
91,['Gender'],False,20-30대 악플러 베충이 40-50대 악플러 개저씨 60대이싱 악플러 틀딱이,"20-30대 베충이, 40-50대 개저씨, 60대 틀딱이 등 연령대별 악플러를 지칭하는 표현입니다.",{},{},
92,['Not Hate Speech'],False,우리 방탄오빠들이 아니라?,방탄오빠들이 아니냐는 질문.,{},{},
93,['Not Hate Speech'],True,토착 괴뢰들 제2의 드루킹 메크로 돌렸는지 의심이 필요하다,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
94,['Not Hate Speech'],False,골목식당보고 백종원 완전 팬됐는데 ㅠㅠ 감히 어디서 대표님을 까대니 ㅡㅡ,"백종원에게 팬이 되었지만, 그를 비난하는 사람에게 실망하는 내용.",{},{},
95,['Age'],False,일본정권에서 틀림없이 공작금 받았다.다시말해 이년은 공작스파이.,일본 정부로부터 공작금을 받은 스파이로 의심됨.,{},{},
96,['Not Hate Speech'],True,차예련 성형 안해서 둘다 누굴닮든 이쁘고 잘생겻겟다!!,,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}",
97,['Age'],True,니들 개무시당해 조만간에 화병걸려 병원에 어퍼져 먹기만하서 돼지/\ㅐ ㄱㄱㅣ되겠다.ㅋ,,,"{'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}",
98,['Not Hate Speech'],False,조사를 하려면 베이징 말고 동쪽으로 옮긴 공장 지역을 봐야지,베이징이 아닌 동쪽 공장 지역을 조사해야 한다.,{},{},
99,['Not Hate Speech'],True,외모는 애낳고 육아살림하는 여자와 독신은 확실히 틀리긴 해. 뭔소리야~,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
